id,record_url,fact_id,fact,title,url,source,image
1,https://fieldbook.com/records/58f8ff4822106603009041bb,fact 1,Sea level change from about 1870 to 2000,,https://climate.nasa.gov/vital-signs/sea-level/,NASA,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/7d9d5308-208f-45e4-99a4-47571023dd7c/warm.jpg
2,https://fieldbook.com/records/58f8fff022106603009041c6,fact 2,"The 10 warmest years in the 136-year record all have occurred since 2000, with the exception of 1998",,https://climate.nasa.gov/vital-signs/global-temperature/,NASA,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/13266472-fafb-47b6-82b4-31440e7bfa0b/ice.jpg
3,https://fieldbook.com/records/58f8fff16e450303006e90de,fact 3,Data from NASA's GRACE satellites show that the land ice sheets in both Antarctica and Greenland are losing mass.,,https://climate.nasa.gov/vital-signs/land-ice/,NASA,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/fb9402db-4edb-4e33-b84c-bc7f911a6b18/ice2.jpeg
4,https://fieldbook.com/records/58f9102e6e450303006e94a9,fact 4,Earth's average temperature has risen by 1.5°F over the past century,,https://www.epa.gov/climate-indicators,EPA,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/b1cef97f-4637-4d30-b931-179de9c57bbe/worldfire.jpg
5,https://fieldbook.com/records/58f9102e6e450303006e94aa,fact 5,Scientific studies indicate that extreme weather events such as heat waves and large storms are likely to become more frequent or more intense,,https://www.epa.gov/climate-indicators/weather-climate,EPA,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/0cff4d9d-6263-4127-b1af-45c0f8e4f7bc/bengal.jpg
6,https://fieldbook.com/records/58f9102e6e450303006e94ab,fact 6,"There is more carbon dioxide in the atmosphere today than at any point in the last 800,000 years.",,https://www.dosomething.org/us/facts/11-facts-about-global-warming,Do Something,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/86f97103-5a81-4351-a7e4-bd13cdfa9102/co2.jpg
7,https://fieldbook.com/records/58f9102e6e450303006e94ac,fact 7,"Sea level could rise between 7 and 23 inches (18 to 59 centimeters) by century's end, the IPCC's February 2007 report projects.",,http://slsc.fiu.edu/,SLSC,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/b33089c3-15fd-4c09-955d-0cf241e16821/city.jpg
8,https://fieldbook.com/records/58f9102e6e450303006e94ad,fact 8,Some hundred million people live within 3 feet of mean sea level. Much of the world's population is concentrated in vulnerable coastal cities.,,http://news.nationalgeographic.com/news/2006/03/0323_060323_global_warming.html,National Geographic,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/75fefd69-3eee-4824-9fcb-6e210eac4a74/usa.jpg
9,https://fieldbook.com/records/58f9102e6e450303006e94ae,fact 9,"Climate change could cause a quarter of land animals, birdlife and plants to become extinct.",,http://www.climateandweather.net/global-warming/climate-change-and-animals.html,Climate and Weather,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/5744c716-7242-490c-9301-dd41045e70b2/pinguins.jpg
10,https://fieldbook.com/records/58f9102e6e450303006e94af,fact 10,climate change prompt coral bleaching events and altering ocean chemistry.,,http://www.teachoceanscience.net/about/overview/,Teach ocean science,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/a81d0892-5f4e-48e9-95da-a583ab97b865/coral.jpg
11,https://fieldbook.com/records/58f9102e6e450303006e94b0,fact 11,In 100 years up to one-fourth of all plants and animals on Earch could become extint,,https://www3.epa.gov/climatechange/kids/impacts/effects/ecosystems.html,EPA,https://fieldbook.com/attachments/58f8ff185dbcf50300a4e3cb/8b8f9af0-22e1-401b-9970-7e0371c6206c/polar.png
